"p0","p1","p2","p3","p4","p5","p6"
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
 6.16259598238223738e-01, 1.24198746927863283e+02, 3.85575318879441631e-01, 6.03509777530852709e+00, 6.26937703232709476e-01, 3.95850071344936936e+01, 5.96604679649493340e-03
