"p0","p1","p2","p3","p4","p5","p6","p7"
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
 1.64700260236147500e+00, 2.19785452814261271e+03, 1.24526916158254300e-01, 1.15475114383370062e-01, 9.12055658703795902e-02, 4.42906095785538592e-02, 3.07462376808389628e+01, 1.45903276298691657e-03
