"p0","p1","p2","p3","p4","p5","p6","p7"
 1.61579258971123307e+00, 2.25390013604052865e+03, 1.18823247356063977e-01, 1.20500169740015789e-01, 8.58828541899964576e-02, 4.79084750522958472e-02, 3.28146010593584379e+01, 1.44379883508413145e-03
 1.59794625725485129e+00, 2.25566606169109673e+03, 1.38429180323954654e-01, 1.05096615163647461e-01, 1.01663685722831965e-01, 7.67037688800529249e-02, 3.30206826188341864e+01, 7.06352487786534016e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.67587197773405983e+00, 2.24790134364697997e+03, 1.73827930564904864e-01, 1.30652605653521381e-01, 5.96922276321207451e-02, 3.64038306793541197e-02, 3.24225171180489298e+01, 8.45458223246147236e-03
 1.63793667643221053e+00, 2.24187047596441425e+03, 1.55329533599866038e-01, 1.16687861551678679e-01, 8.38145274581493516e-02, 3.69552311770756994e-02, 3.27865577986036385e+01, 1.42208178285492745e-02
 1.63793667643221053e+00, 2.24187047596441425e+03, 1.55329533599866038e-01, 1.16687861551678679e-01, 8.38145274581493516e-02, 3.69552311770756994e-02, 3.27865577986036385e+01, 1.42208178285492745e-02
 1.63793667643221053e+00, 2.24187047596441425e+03, 1.55329533599866038e-01, 1.16687861551678679e-01, 8.38145274581493516e-02, 3.69552311770756994e-02, 3.27865577986036385e+01, 1.42208178285492745e-02
 1.63793667643221053e+00, 2.24187047596441425e+03, 1.55329533599866038e-01, 1.16687861551678679e-01, 8.38145274581493516e-02, 3.69552311770756994e-02, 3.27865577986036385e+01, 1.42208178285492745e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
 1.67685252296106935e+00, 2.23817780756066895e+03, 1.69513903692262824e-01, 1.08274645536389533e-01, 1.00636468101380730e-01, 5.50688113541647067e-02, 3.27787570023793862e+01, 1.58634309652984848e-02
